,question,relevant_documents_from_dense_retrieval
62,מדוע נדרש שילוב של מדעי הטבע וההנדסה בהנדסה ביורפואית?,"[Document(id='14958da9-74d6-4fa0-a3a9-9465c24f3a4b', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='�ומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות הפארמה המזון ובמגוון נוסף של תעשיות, שבהן הם\nממלאים תפקידי פיתוח תהליכים של ביו-חומרים, המצריכים הבנה ביו-פיסיקאלית מעמיקה. המסלול\nיספק את הרקע המתאים לבוגרים אלו.\nמסלול בדגש למחקר\nמסלול זה יחשוף את הסטודנטים כבר ב'), Document(id='8bad2f76-cac2-4455-a163-3901bf686586', metadata={'source': '367-2025.pdf', 'start_index': 2220}, page_content='חשבים או רובוטים, בעידוד מנגנונים טבעיים או בשימוש\nבאברים מלאכותיים, ידע רב-תחומי חיוני במקצוע ההנדסה הביורפואית.\nההתפתחות העצומה שחלה בשנים האחרונות בתחומי המדעים המדויקים, מדעי הטבע וההנדסה מאפשרת להשתמש בכלים\nהנדסיים על מנת לענות על שאלות רבות שנות'), Document(id='17e3574a-4016-4efc-9235-405c1d80f803', metadata={'source': '367-2025.pdf', 'start_index': 3067}, page_content='מעשיים במעבדות ההוראה ובפרויקט הגמר. התלמידים /ות מיועדים/ות להשתלב ולהוביל בצוותי מחקר ופיתוח\nבאוניברסיטאות ובתעשייה, ולעסוק בפיתוח ותפעול מערכות הנדסיות בבתי חולים. הלימודים במחלקה להנדסה ביורפואית\nמתקיימים במסגרת משולבת של הפקולטה למדעי ההנדסה והפקול'), Document(id='200da6d3-3a74-448f-97b8-21642c1df796', metadata={'source': '365-2025.pdf', 'start_index': -1}, page_content='סים וכמו כן באפשרותם להמשיך ללא השלמות לתואר\nהשני והשלישי במחלקה להנדסת מכונות או במחלקה להנדסת חומרים לפי בחירתם.\nבמסגרת המחקר העכשווי והפיתוח התעשייתי תחומי החפיפה בין הנדסת המכונות והנדסת חומרים הולכים\nומתרחבים. כתוצאה מכך שיתוף הפעולה בין חוקרים �')]"
63,כיצד מתבטאת עבודה בצוותי מחקר רב-תחומיים בהנדסה ביורפואית?,"[Document(id='14958da9-74d6-4fa0-a3a9-9465c24f3a4b', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='�ומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות הפארמה המזון ובמגוון נוסף של תעשיות, שבהן הם\nממלאים תפקידי פיתוח תהליכים של ביו-חומרים, המצריכים הבנה ביו-פיסיקאלית מעמיקה. המסלול\nיספק את הרקע המתאים לבוגרים אלו.\nמסלול בדגש למחקר\nמסלול זה יחשוף את הסטודנטים כבר ב'), Document(id='f3bf404b-a470-484c-a0fd-690793a02a06', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content='בוא לרפואה קלינית.\n• התמחות רב-תחומית ייחודית בישום מתודולוגיות חישוביות לתחומי הרפואה השונים.\nהמסלול לתואר שני ברפואה חישובית הינו מחקרי ומחייב הגשת תזה. המסלול משותף לפקולטה להנדסה\nוהפקולטה למדעי הבריאות.\nבדרך כלל יהיה לתלמיד מנחה מהמחלקה להנדסת מערכות תו�')]"
64,מה תפקידה של שנת הפרויקט המסכמת בהנדסה ביורפואית?,"[Document(id='dabb1064-a10b-43bb-90c2-ea6659d08892', metadata={'source': '369-2025.pdf', 'start_index': -1}, page_content='� והפרדת חלבונים, תרביות תאים, כמו גם אתיקה\nומשפט בביוטכנולוגיה ומנהל עסקים. בשנת הלימודים האחרונה לתואר, במהלך פרויקט הגמר התלמידים\nמתנסים במחקר עצמאי במעבדות חברי הסגל או כחלק מעבודה בתעשיית הביוטכנולוגיה. בוגרי המחלקה\nמוכשרים לעבודה ומחקר בסביבות עבו'), Document(id='bc53ed47-1f92-495a-9e82-330bbe4afe41', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='רים קרמיים\n36513491 בחירת חומרים\nמסלול התמחות 9: אנרגיה גרעינית\nמסלול אנרגיה גרעינית הינו מסלול התמחות משותף למחלקה להנדסת מכונות ולמחלקה להנדסה גרעינית.\nהמסלול הוכן על מנת לענות לצורך עדכני בישראל ובעולם להכשרת מהנדסים, מדענים וחוקרים לעיסוק\nבנושאי אנר�')]"
65,כיצד מסייעת התוכנית להבין מכשירי מדידה ודימות רפואיים?,"[Document(id='2253a9ce-020e-4ee7-8732-0f0817221a47', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content=""�רים חושיים, מוטוריים וקוגניטיביים .\nפרופ' אילנה ניסקי: רובוטיקה רפואית וחקר המוח. ניצול ההבנה של תהליכי בקרת התנועה והתפישה במוחו של הרופא\nלפיתוח, בקרה, וניתוח רובוטים רפואיים חדשניים (בדגש על רובוטים לניתוחים). חקר המוח על ידי למידת האינטראקציה\nשל הרופאים עם �""), Document(id='2fc0b89d-d53d-4b90-a0c5-cf99ca6e4e19', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='�דסי והמדעי לפתרון בעיות בתחומי הביולוגיה והרפואה.\nהפתרונות הנדרשים ממהנדסות ומהנדסי הביורפואה כוללים את תחום האבחון והניתור מחד גיסא והטיפול הרפואי מאידך\nגיסא. בין אם מדובר בציוד מדידה, הדמיה או ריפוי, בשימוש במחשבים או רובוטים, בעידוד מנגנונים טבעיים �'), Document(id='90ffc07f-fcf2-4c76-8d02-d97b9b38ddcb', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content=""ר\nתרופות באמצעות ננו חלקיקים, מודלים מתמטיים של מערכות ביולוגיות.\nפרופ' אלברטו בילנקה: שימוש בטכנולוגיות אופטיות ופוטוניות מתקדמות ליישומים בביורפואה כגון דימות ביולוגי\nברזולוציה ננומטרית ואבחון מחלות דם.\nפרופ ' הדרב ן-יואב: ביו-אלקטרוניקה, התקנים מיקרו- �""), Document(id='e98aeb66-095e-469f-9468-747429f2370e', metadata={'source': '367-2025.pdf', 'start_index': 18247}, page_content='יולוגיה והרפואה .\nפרופ\' גל דבוטון: ביומכניקה של רקמות רכות.\nפרופ \' עופר דונחין: כיצד רכישת כישורים חדשים משנה את מערכת העצבים, הן ברמה ההתנהגותית והן ברמה\nהפסיכולוגית, בעיקר תוך התבוננות במבנה ותפקוד המוח הקטן.\nד""ר שחר מיידנבאום: קשר שבין האדם והמרחב, מ'), Document(id='b97fbc02-a1ee-4ab4-8c43-c23962e4e110', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='�לים בהבנת חומרים ביולוגיים ולא\nביולוגיים, מעבר אלקטרונים בין רקמות לבין מכשור אלקטרוני, ועד ליישומים בפיתוח משתלים ותחליפי\nרקמות ואברים באמצעות חומרים ביולוגים ורקמות מהונדסות.\n3) אשכול ביומכניקה ורובוטיקה מקנה הבנה וכלים לניתוח מכאני של מערכות ביולוגיות מרמת'), Document(id='8bad2f76-cac2-4455-a163-3901bf686586', metadata={'source': '367-2025.pdf', 'start_index': 2220}, page_content='חשבים או רובוטים, בעידוד מנגנונים טבעיים או בשימוש\nבאברים מלאכותיים, ידע רב-תחומי חיוני במקצוע ההנדסה הביורפואית.\nההתפתחות העצומה שחלה בשנים האחרונות בתחומי המדעים המדויקים, מדעי הטבע וההנדסה מאפשרת להשתמש בכלים\nהנדסיים על מנת לענות על שאלות רבות שנות'), Document(id='76e37a21-dace-4cfe-afa1-2afa77ffa7a1', metadata={'source': '362-2025.pdf', 'start_index': 18388}, page_content='יכון תרמי\n36214951 מקורות אנרגיה בלתי קונבנציונליים\n36213641 מעבר מסה\n36214292 קריאוגניקה ניצול גזים ומקררים קריאוגניים\nמסלול התמחות 5: הנדסה רפואית וביומכניקה\nהקורסים מתמקדים באנטומיה ובביומכניקה של גוף האדם, טכנולוגיה של מערכות רפואיות, ובתהליך של\nפיתוח וליווי של טכנול'), Document(id='18ba73ef-2ef9-49db-8015-85eef54967f7', metadata={'source': '361-2025.pdf', 'start_index': 195085}, page_content='י לריכוז עצמה באנרגיה\nסולרית, התפשטות גליםא""מ בתווך ביולוגי, שיטות אופטיות לדיאגנוסטיקה, חישה ודימות אופטי מותאמת\nAI, מטרולוגיה אופטית , אופטו-מכניקה, תכנון אופטי לדימות. המגוון הרחב של המקצועות מיועד לאפשר\nלבוגרי תכניות אלו להשתלב בתעשייה המתפתחת בארץ.')]"
66,"אילו תחומי התמחות מוצעים בתכנית, כמו ביומכניקה או נוירו-הנדסה?",[]
67,כיצד מושם דגש על מחקר בסיסי מול יישומי בהנדסה ביורפואית?,"[Document(id='12874d79-e215-4096-8761-f0fdcaa024ec', metadata={'source': '369-2025.pdf', 'start_index': 1642}, page_content=' על מחקר במעבדות המחלקה בהנחיית חברי הסגל. מהתלמידים נדרשת עבודת מחקר ברמה גבוהה\nהמתפרסמת בכתבי עת מובילים בתחום. מבחר נושאי המחקר במחלקה רחב ביותר, ומתמקד באלו הנחשבים\nלטכנולוגיות העילית שבביוטכנולוגיה, כגון: הנדסת רקמות ותאי גזע, ביו-חומרים חכמים, בי'), Document(id='875a488f-466f-4772-9cb2-14daadc8fb5c', metadata={'source': '361-2025.pdf', 'start_index': 8911}, page_content=' ועד לרמה לאומית תוך שילוב של אנרגיות מתחדשות. בנוסף מתקיים מחקר תאורטי עתידני המיועד\nלענות על בעיות ושאלות תיאורטיות שלאו דווקא קיים עבורן מימוש מיידי .\nהגישה המולטי-דיציפלנארית היא אחד המאפינים של התואר בהנדסת חשמל ומחשבים ומאפשרת גמישות\nמירבית בבחירת מקצוע. ה')]"
68,מדוע הכשרה בפיזיולוגיה אנושית רלוונטית למהנדס ביורפואי?,"[Document(id='76e37a21-dace-4cfe-afa1-2afa77ffa7a1', metadata={'source': '362-2025.pdf', 'start_index': 18388}, page_content='יכון תרמי\n36214951 מקורות אנרגיה בלתי קונבנציונליים\n36213641 מעבר מסה\n36214292 קריאוגניקה ניצול גזים ומקררים קריאוגניים\nמסלול התמחות 5: הנדסה רפואית וביומכניקה\nהקורסים מתמקדים באנטומיה ובביומכניקה של גוף האדם, טכנולוגיה של מערכות רפואיות, ובתהליך של\nפיתוח וליווי של טכנול'), Document(id='206ed7e2-bb11-4b87-b926-f1285d581b76', metadata={'source': '362-2025.pdf', 'start_index': 19721}, page_content='של )התעייפות, שחיקה, קריסה\nועוד( ותהליכי הייצור ובהמשך בהקניית יכולת לביצוע חישובי חוזק מתקדמים .\nהתלמיד נחשף לשיקולי תכן בסיסים ומתקדמים להשגת יעדים נדרשים ממכונה: אמינות, בטיחות, זמינות\nועוד. בוגרי מסלול זה יכולים להשתלב במחלקות הנדסיות בתעשייה העוסקות בתכן'), Document(id='86b7cde3-4bc9-44dd-b7f4-971e48dd4de2', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='� שני קורסי בחירה ממחלקות אחרות.\nמסלול התמחות 7: מערכות הספק\nבמסלול זה יתמחה מהנדס המכונות במקור העיקרי לתנועות המכניות והדינאמיקה והם מנועים חשמליים.\nבמסלול זה יכיר מהנדס המכונות את האספקט החשמלי של מערכות מתח גבוה, הנע חשמלי ומערכות הספק .\nלהשלמת ה')]"
69,כיצד מקדמת התכנית הבנה מעמיקה של כירורגיה רובוטית ואבחון מתקדם?,"[Document(id='73762f45-8341-4a3c-8dbe-8e5c3edf59ad', metadata={'source': '383-2025.pdf', 'start_index': 1438}, page_content='אוניברסיטה, הנותנת מענה לדיספלינה שבחוסר. קיים בה\nשילוב מיטבי בין תאוריה למעשה, והיא נועדה לאפשר מעבר מהיר מלימודים ליישום בשטח.\nמטרות התוכנית להקנות ידע תיאורטי ומעשי בתחום הנדסת מערכות. ידע זה כולל מרכיבים רבים כגון: חשיבה\nמערכתית, ניתוח, כתיבה וניהול דר'), Document(id='f16e7c53-3b96-4c56-83a3-609a3c9a4425', metadata={'source': '372-2025.pdf', 'start_index': 4418}, page_content='ה\nואינטגרטיבית. המחלקה מעודדת את הסטודנטים להמשיך את לימודיהם לתארים מתקדמים.\nבמסגרת תכנית הלימודים לתואר ראשון, המחלקה מאפשרת לסטודנטים הרוצים בכך להתמחות במגמות לימוד\nייחודיות: בינה מלאכותית, בינה עסקית וכריית נתונים ואבטחת מידע ולוחמת מידע. במסגרת'), Document(id='fb8a848e-5d70-4550-b6b5-2f9056a3a9b5', metadata={'source': '364-2025.pdf', 'start_index': 49318}, page_content=""מים אלו. ההתמחות מכשירה חוקרים שיוכלו לשלב ידע\nעל יכולות ומגבלות של מערכות תחבורה, עיצוב סביבות נהיגה, יכולות ומגבלות הנהג בתנאים משתנים. כמו כן,\nעוסקת ההתמחות בהנדסת אנוש מתקדמת של מערכות תחבורה מתקדמות.\nקורסי חובה\n)בסוגריים – קורס חובה במגמה(\nמס' הקורס שם"")]"
70,מהו ייחודה של היחידה להנדסה גרעינית בארץ?,"[Document(id='ced4eb97-2748-479d-ac34-88ae835a50ff', metadata={'source': '361-2025.pdf', 'start_index': -1}, page_content='ובדים בתעשיות טכנולוגיה עילית בשוק האזרחי והבטחוני. צוות ההוראה של המסלול מכסה אספקטים\nשונים של השידור, ההתפשטות והקליטה של קרינה אלקטרומגנטית וכולל חוקרים מנוסים ובכירים\nבתחומם. תכנית הלימודים והמחקר של המסלול כוללת נושאים בטכנולוגיה עילית כגון: תכנו�')]"
71,אילו יישומים רפואיים נכללים בתחום ההנדסה הגרעינית?,"[Document(id='8bad2f76-cac2-4455-a163-3901bf686586', metadata={'source': '367-2025.pdf', 'start_index': 2220}, page_content='חשבים או רובוטים, בעידוד מנגנונים טבעיים או בשימוש\nבאברים מלאכותיים, ידע רב-תחומי חיוני במקצוע ההנדסה הביורפואית.\nההתפתחות העצומה שחלה בשנים האחרונות בתחומי המדעים המדויקים, מדעי הטבע וההנדסה מאפשרת להשתמש בכלים\nהנדסיים על מנת לענות על שאלות רבות שנות')]"
