,question,relevant_documents_from_dense_retrieval
62,מדוע נדרש שילוב של מדעי הטבע וההנדסה בהנדסה ביורפואית?,"[Document(id='a9a409c7-bbd0-4ad5-9fd6-edc681fb665c', metadata={'source': '383-2025.pdf', 'start_index': -1}, page_content='�נדסת מכונות הנדסת חשמל ואלקטרוניקה, הנדסה\nכימית, הנדסת מחשבים, הנדסת אלקטרואופטית, הנדסת גרעין והנדסה ביו-רפואית.\nעם זאת, התוכנית מתאימה גם לבוגרי מדעי הטבע המעוניינים לרכוש מיומנויות, יזמות טכנולוגית בתחומי הנדסת\nהמערכת.\nתנאי הקבלה:\n• ממו')]"
63,כיצד מתבטאת עבודה בצוותי מחקר רב-תחומיים בהנדסה ביורפואית?,"[Document(id='a10c14c0-f467-4d8e-8679-ca7fdc297233', metadata={'source': '369-2025.pdf', 'start_index': 2066}, page_content='קטורים, תהליכי הפרדה לייצור תרופות\nוטיפול במפגעים סביבתיים .\nבוגרי התוכנית שלנו התקבלו כחברי סגל אוכ בתר- דוקטורנטים באוניברסיטאות יוקרתיות. אחרים נושאי\nתפקידים מאתגרים בתעשייה הביוטכנולוגית והפארמצבטית בארץ ובחו""ל. בין הבוגרים שלנו יש כאלו שפנו\nליזמות והקימ'), Document(id='14958da9-74d6-4fa0-a3a9-9465c24f3a4b', metadata={'source': '363-2025.pdf', 'start_index': -1}, page_content='�ומרים\nבוגרים רבים של המחלקה משתלבים בתעשיות הפארמה המזון ובמגוון נוסף של תעשיות, שבהן הם\nממלאים תפקידי פיתוח תהליכים של ביו-חומרים, המצריכים הבנה ביו-פיסיקאלית מעמיקה. המסלול\nיספק את הרקע המתאים לבוגרים אלו.\nמסלול בדגש למחקר\nמסלול זה יחשוף את הסטודנטים כבר ב')]"
64,מה תפקידה של שנת הפרויקט המסכמת בהנדסה ביורפואית?,"[Document(id='4df051cc-1563-4628-94a3-48c5fe188a9a', metadata={'source': '364-2025.pdf', 'start_index': -1}, page_content='�ורס זה בהצלחה של קורס זה תקנה גם פטור מהחובה להשתתף בסדנת ההוראה למתרגלים שהיא בגדר\nחובה לתלמידי תארים מתקדמים המועסקים במשרות תרגול .\nמסלול קש"" ת\nמסלול קש""ת מאפשר לתלמיד המחלקה להנדסת תעשייה וניהול, המעוניין להמשיך ללימודי תואר שני מחקרי, לשלב\nלימודי תואר שנ')]"
65,כיצד מסייעת התוכנית להבין מכשירי מדידה ודימות רפואיים?,"[Document(id='8bad2f76-cac2-4455-a163-3901bf686586', metadata={'source': '367-2025.pdf', 'start_index': 2220}, page_content='חשבים או רובוטים, בעידוד מנגנונים טבעיים או בשימוש\nבאברים מלאכותיים, ידע רב-תחומי חיוני במקצוע ההנדסה הביורפואית.\nההתפתחות העצומה שחלה בשנים האחרונות בתחומי המדעים המדויקים, מדעי הטבע וההנדסה מאפשרת להשתמש בכלים\nהנדסיים על מנת לענות על שאלות רבות שנות')]"
66,"אילו תחומי התמחות מוצעים בתכנית, כמו ביומכניקה או נוירו-הנדסה?","[Document(id='a9a409c7-bbd0-4ad5-9fd6-edc681fb665c', metadata={'source': '383-2025.pdf', 'start_index': -1}, page_content='�נדסת מכונות הנדסת חשמל ואלקטרוניקה, הנדסה\nכימית, הנדסת מחשבים, הנדסת אלקטרואופטית, הנדסת גרעין והנדסה ביו-רפואית.\nעם זאת, התוכנית מתאימה גם לבוגרי מדעי הטבע המעוניינים לרכוש מיומנויות, יזמות טכנולוגית בתחומי הנדסת\nהמערכת.\nתנאי הקבלה:\n• ממו')]"
67,כיצד מושם דגש על מחקר בסיסי מול יישומי בהנדסה ביורפואית?,"[Document(id='18595576-004d-47b2-8da4-042eb72bd338', metadata={'source': '372-2025.pdf', 'start_index': -1}, page_content=""�ירה המוכרים במגמה, ניתן ללמוד קורסי בחירה נוספים מהמגוון הקיים.\nחברי מגמה ותחומי המחקר שלהם )סדר אלפביתי(\nפרופ' ברדה נועם\nאינפורמטיקה רפואית, מודלי ניבוי קליניים, הוגנות במודלים, הסקה סיבתית ואפידמיולוגיה מודרנית.\nפרופ' גל קובי\nבינה מלאכותית, קבלת החלטות, מ""), Document(id='dabb1064-a10b-43bb-90c2-ea6659d08892', metadata={'source': '369-2025.pdf', 'start_index': -1}, page_content='� והפרדת חלבונים, תרביות תאים, כמו גם אתיקה\nומשפט בביוטכנולוגיה ומנהל עסקים. בשנת הלימודים האחרונה לתואר, במהלך פרויקט הגמר התלמידים\nמתנסים במחקר עצמאי במעבדות חברי הסגל או כחלק מעבודה בתעשיית הביוטכנולוגיה. בוגרי המחלקה\nמוכשרים לעבודה ומחקר בסביבות עבו'), Document(id='12ad0220-30bf-4141-8d13-d0b7e1dc55de', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='אר ראשון.\n2 הקורס ניתן בשפה האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה .\n10\n אשכול ביומכניקה ורובוטיקה\nקורסים מקבוצה 1: מעבדה בביומכניקה, חוזק חומרים להנדסה ביורפואית, מעבר חום וחומר 1 ומבוא לרובוטיקה\nויישומים להנדסה ביורפואית .\nקורסים מקבוצה 2: מכניקה של �')]"
68,מדוע הכשרה בפיזיולוגיה אנושית רלוונטית למהנדס ביורפואי?,"[Document(id='12ad0220-30bf-4141-8d13-d0b7e1dc55de', metadata={'source': '367-2025.pdf', 'start_index': -1}, page_content='אר ראשון.\n2 הקורס ניתן בשפה האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה .\n10\n אשכול ביומכניקה ורובוטיקה\nקורסים מקבוצה 1: מעבדה בביומכניקה, חוזק חומרים להנדסה ביורפואית, מעבר חום וחומר 1 ומבוא לרובוטיקה\nויישומים להנדסה ביורפואית .\nקורסים מקבוצה 2: מכניקה של �'), Document(id='76e37a21-dace-4cfe-afa1-2afa77ffa7a1', metadata={'source': '362-2025.pdf', 'start_index': 18388}, page_content='יכון תרמי\n36214951 מקורות אנרגיה בלתי קונבנציונליים\n36213641 מעבר מסה\n36214292 קריאוגניקה ניצול גזים ומקררים קריאוגניים\nמסלול התמחות 5: הנדסה רפואית וביומכניקה\nהקורסים מתמקדים באנטומיה ובביומכניקה של גוף האדם, טכנולוגיה של מערכות רפואיות, ובתהליך של\nפיתוח וליווי של טכנול'), Document(id='88644a00-5c5a-4b26-91a6-e7f464f55bfb', metadata={'source': '367-2025.pdf', 'start_index': 23038}, page_content='ושאים מתקדמים בעיבוד אותות פיזיולוגיים\n36725631 מציאות מועצמת ומדומה למחקר, טיפול ושיקום\n36726631 הדפסה תלת ממדית ברפואה\n36725651 ביו-שבבים, ביו-גלאים וביו- אלקטרוניקה1\n1 הקורס ניתן בשפה האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה.\nבהמלצת מנחה ובאישור ועדת הוראה, ניתן לק'), Document(id='f4b3d87b-0ae4-4392-9f1d-106105c5eab9', metadata={'source': '362-2025.pdf', 'start_index': 15023}, page_content='ולת של מהנדס המכונות להבין תהליכים\nדינאמיים ולפתח מודלים דינאמיים של מערכות מכאניות. להבנה זו יש תפקיד חשוב בתכנון מערכות בקרה.\n11\n תלמידים המסיימים את לימודיהם בהנדסת מכונות עם התמחות בתחום הבקרה מכטרוניקה ורובוטיקה\nעשויים להשתלב בתעשיית ההיטק, בחברות אשר מ'), Document(id='a9d259ee-a386-4d65-a3ab-06f5b35b662a', metadata={'source': '367-2025.pdf', 'start_index': 12009}, page_content=' האנגלית. נא לבדוק עם מרצה/ת הקורס בתחילת השנה .\n9\n אשכול ביוחומרים, ביואלקטרוניקה והנדסת רקמות\nקורסי החובה באשכול (קבוצה 1): מעבדה בביוחומרים וביואלקטרוניקה, ביוחומרים, ביואלקטרוכימיה, מעבר חום\nוחומר 1 ומכניקה של תאים.\nקורסים מקבוצה 2: ביו סנסורים ומערכות מ'), Document(id='86b7cde3-4bc9-44dd-b7f4-971e48dd4de2', metadata={'source': '362-2025.pdf', 'start_index': -1}, page_content='� שני קורסי בחירה ממחלקות אחרות.\nמסלול התמחות 7: מערכות הספק\nבמסלול זה יתמחה מהנדס המכונות במקור העיקרי לתנועות המכניות והדינאמיקה והם מנועים חשמליים.\nבמסלול זה יכיר מהנדס המכונות את האספקט החשמלי של מערכות מתח גבוה, הנע חשמלי ומערכות הספק .\nלהשלמת ה')]"
69,כיצד מקדמת התכנית הבנה מעמיקה של כירורגיה רובוטית ואבחון מתקדם?,"[Document(id='992f83a8-2cac-4cb2-9a74-ec7cfb88cd4c', metadata={'source': '367-2025.pdf', 'start_index': 2647}, page_content='נים הנדסיים מורכבים, מכשירי דימות רפואיכ- MRI הם מדגם חלקי לאמצעים חדשים ההופכים לזמינים לכל. אמצעים\nאלה מאפשרים לא רק מענה לצרכים שהוגדרו ועל שאלות שהוצגו בעבר אלא מהווים קרש קפיצה להצבת אופקי מחקר וידע\nחדשים .\nתלמידות ותלמידי המחלקה להנדסה ביורפואית מקב')]"
70,מהו ייחודה של היחידה להנדסה גרעינית בארץ?,[]
71,אילו יישומים רפואיים נכללים בתחום ההנדסה הגרעינית?,[]
